point_id,date,n_hours,GHI_Wh_m2,GHI_clearsky_Wh_m2,kt_daily,T2M_min,T2M_max,T2M_mean,RH2M_mean,WS10M_mean
RJP_0055,2021-03-26,24,6667.79,6991.9800000000005,0.9536340206922788,18.09,35.73,26.73875,26.58,2.770833333333333
RJP_0055,2021-03-27,24,6723.87,6952.18,0.9671599411983004,20.01,38.56,28.88583333333333,22.531666666666663,2.57
RJP_0055,2021-03-28,24,6660.040000000001,6944.16,0.9590850441234074,19.56,40.96,30.76625,17.110416666666666,2.786666666666666
RJP_0055,2021-03-29,24,7053.09,7280.290000000001,0.9687924519490294,21.05,42.71,32.192083333333336,16.00125,4.4225
RJP_0055,2021-03-30,24,6598.599999999999,6975.360000000001,0.9459870171575372,18.8,41.51,30.32041666666667,14.246666666666668,7.357916666666667
RJP_0055,2021-03-31,24,7082.84,7318.25,0.9678324736104944,18.19,40.05,28.67458333333333,10.022083333333333,3.829166666666667
RJP_0055,2021-04-01,24,7232.79,7823.89,0.9244493468083012,17.56,39.09,27.97541666666667,8.042499999999999,3.8175
RJP_0055,2021-04-02,24,7374.92,7673.219999999999,0.9611245344197092,17.95,38.49,27.98,8.737083333333333,3.119166666666666
RJP_0055,2021-04-03,24,7002.35,7535.15,0.92929138769633,17.69,37.97,27.920416666666664,8.964166666666666,2.891666666666667
RJP_0055,2021-04-04,24,7221.150000000001,7534.639999999999,0.9583934998885152,17.56,39.83,29.869166666666672,8.91625,2.6675000000000004
RJP_0055,2021-04-05,24,6774.039999999999,7182.85,0.943085265597917,21.4,41.76,31.50333333333333,15.265,4.1554166666666665
RJP_0055,2021-04-06,24,6877.4,7024.36,0.9790785210325212,23.39,42.54,32.9625,17.427916666666665,5.729583333333333
RJP_0055,2021-04-07,24,6581.61,6871.34,0.9578350074366864,22.2,40.03,30.565416666666664,22.13625,4.176666666666667
RJP_0055,2021-04-08,24,6756.335,6991.235000000001,0.9664007861272006,21.39,38.22,29.60458333333333,12.490416666666668,3.4858333333333333
RJP_0055,2021-04-09,24,6911.73,7204.295,0.9593901970977036,20.36,38.08,28.7375,11.670833333333333,3.6804166666666656
RJP_0055,2021-04-10,24,7216.41,7460.675,0.9672596648426582,19.77,38.96,29.64875,11.16625,3.188333333333334
RJP_0055,2021-04-11,24,7082.285,7388.715,0.9585272946649044,20.37,39.87,31.82583333333333,11.286666666666669,1.5679166666666664
RJP_0055,2021-04-12,24,7137.005,7526.369999999999,0.9482665614366556,23.34,40.84,32.680416666666666,10.386666666666668,1.475
RJP_0055,2021-04-13,24,7500.45,7784.320000000001,0.9635331024418315,23.07,42.0,32.40291666666666,12.767499999999998,2.5404166666666668
RJP_0055,2021-04-14,24,6249.885,7289.7,0.8573583275031895,23.44,41.52,32.84875,15.261666666666663,3.033333333333333
RJP_0055,2021-04-15,24,6793.185,6997.005,0.9708703938327898,24.02,41.18,32.41416666666667,13.737083333333333,3.857083333333333
RJP_0055,2021-04-16,24,6006.73,7079.545,0.8484627190024217,23.93,41.31,32.82208333333333,24.455,3.7745833333333336
