point_id,date,n_hours,GHI_Wh_m2,GHI_clearsky_Wh_m2,kt_daily,T2M_min,T2M_max,T2M_mean,RH2M_mean,WS10M_mean,cluster_id
RJP_0083,2023-12-11,24,4142.41,4143.139999999999,0.9998238051333048,9.5,26.22,17.633750000000003,37.92208333333333,1.731666666666667,2
RJP_0083,2023-12-12,24,4072.04,4075.38,0.9991804445229648,8.73,25.98,17.14875,41.53041666666667,1.893333333333333,2
RJP_0083,2023-12-13,24,4065.58,4066.9,0.9996754284590228,11.13,26.49,17.7575,40.40916666666666,1.49875,2
RJP_0083,2023-12-14,24,4067.3,4131.849999999999,0.9843774580393772,10.06,26.2,16.95,45.0,2.0104166666666665,2
RJP_0083,2023-12-15,24,4008.69,4029.7,0.9947862123731296,8.62,25.68,16.028750000000002,46.798333333333325,2.8775,2
RJP_0083,2023-12-16,24,3822.38,3831.58,0.9975989017585434,9.56,25.38,17.21666666666667,46.12125,1.2408333333333337,2
RJP_0083,2023-12-17,24,3892.17,3955.45,0.984001820273294,9.85,26.0,17.257916666666663,40.04375,1.6245833333333335,2
RJP_0083,2023-12-18,24,3984.96,3986.87,0.9995209274443358,9.0,24.97,15.710416666666664,37.334583333333335,2.862083333333333,2
RJP_0083,2023-12-19,24,4340.4400000000005,4365.75,0.9942025997823972,8.04,25.09,15.83875,31.580416666666668,2.188333333333333,2
RJP_0083,2023-12-20,24,3002.86,4304.6900000000005,0.6975786874316152,9.74,22.59,16.2825,28.72958333333333,1.643333333333333,2
RJP_0083,2023-12-21,24,3610.38,4272.889999999999,0.8449503731666391,10.27,25.31,17.595833333333335,24.578750000000003,1.5912499999999998,2
RJP_0083,2023-12-22,24,3885.25,4194.79,0.926208463355734,9.34,26.51,17.722083333333334,26.02,2.145,2
RJP_0083,2023-12-23,24,3775.32,3851.85,0.9801316250632812,9.07,26.35,15.994166666666665,39.813750000000006,2.591666666666667,2
RJP_0083,2023-12-24,24,3217.2200000000003,3360.41,0.9573891281123436,8.25,24.97,15.66625,47.09375,2.4775,2
RJP_0083,2023-12-25,24,3097.6800000000003,3349.33,0.9248655701289512,11.1,26.42,17.850416666666668,40.28125,1.22875,2
RJP_0083,2023-12-26,24,3632.97,3718.09,0.977106525124459,10.09,26.66,17.051666666666666,41.9825,2.0508333333333333,2
RJP_0083,2023-12-27,24,3658.59,3693.28,0.9906072650868606,9.35,26.31,16.760833333333334,44.25791666666667,2.2570833333333336,2
RJP_0083,2023-12-28,24,3855.76,3863.47,0.9980043846593863,8.54,25.23,15.409166666666664,46.06291666666667,2.4204166666666667,2
RJP_0083,2023-12-29,24,3369.6400000000003,3634.97,0.9270062751549532,8.16,24.57,14.997083333333334,46.71208333333334,2.91,2
RJP_0083,2023-12-30,24,2541.54,3180.9100000000003,0.7989977710780877,9.17,23.54,15.165416666666667,47.34625,2.797916666666666,2
RJP_0083,2023-12-31,24,2736.92,2786.99,0.9820343811782604,8.37,22.08,14.263750000000002,52.41416666666667,2.90375,2
RJP_0083,2024-01-01,24,2632.26,3100.12,0.8490832612931113,7.35,23.5,14.2875,47.48499999999999,2.3641666666666667,2
RJP_0083,2024-01-02,24,1301.06,2926.8,0.4445332786661199,6.65,23.01,14.259166666666667,48.395,2.515,2
RJP_0083,2024-01-03,24,2922.98,3206.04,0.9117103966263678,7.58,22.32,14.003333333333332,51.08041666666666,2.4341666666666666,2
RJP_0083,2024-01-04,24,1628.92,3400.82,0.4789785992789975,4.96,20.59,11.911666666666669,47.00208333333333,2.3858333333333333,2
RJP_0083,2024-01-05,24,1685.55,3539.72,0.4761817318883979,4.42,21.13,11.607916666666668,51.2875,2.3554166666666667,2
RJP_0083,2024-01-06,24,3012.19,3646.36,0.8260813523623559,4.79,20.22,12.122916666666669,59.41291666666666,2.21625,2
RJP_0083,2024-01-07,24,3574.63,3665.71,0.9751535173267936,5.5,20.66,12.371666666666664,59.348333333333336,2.357083333333333,2
