case_id,regime_id,pcm_id,arrangement,sampling_method,seed,capsule_diameter_m,n_capsule,flow_rate_kg_s,simulator_version,runtime_s,valid,reason,geom_pcm_thickness_m,geom_pcm_volume_fraction,geom_void_fraction,geom_pressure_drop_pa,geom_pump_power_w,geom_reynolds_number_particle,geom_hydraulic_diameter_m,geom_below_min_pcm_fraction,state,cluster_id,pcm_name,mains_temp_C,useful_energy_kWh,solar_fraction,delivery_temp_hours,unmet_energy_kWh,pump_energy_kWh,collector_energy_kWh,loss_energy_kWh,charge_energy_kWh,discharge_energy_kWh,residual_pct_of_collector,pcm_mass_kg,max_water_temp_C,max_pcm_temp_C,n_safety_violations,final_f_melt,complete_melt_cycles,n_hours_simulated,n_shield_water_activations,n_shield_pcm_activations,split
c0_RT50_bnd_staggered_dmax_fmax,0,RT50,staggered,boundary,0,0.08,22,0.05,sim_v2_rajasthan,5.577348947525024,True,,0.04,0.11795633216678478,0.5419076836902142,0.006317799485241302,5.264832904367752e-07,77.84015292842594,0.06309152566226389,False,rajasthan,0.0,RT50,25.092,1581.2101054841314,0.5508358979113279,,1138.527470960881,2.0069177418063416e-06,1658.3620303490588,77.4674580107869,66.49535264455714,66.5442941615483,0.0005973777671149391,5.190078615338531,69.38637017778773,62.398091960107095,0.0,0.0,129.0,8760.0,0.0,2916.0,train
c0_RT50_bnd_radial_dmin_fmin,0,RT50,radial,boundary,0,0.02,22,0.01,sim_v2_rajasthan,0.0,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,holdout
c0_RT50_bnd_radial_dmin_fmax,0,RT50,radial,boundary,0,0.02,22,0.05,sim_v2_rajasthan,0.0,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_RT50_bnd_radial_dmax_fmin,0,RT50,radial,boundary,0,0.08,22,0.01,sim_v2_rajasthan,6.0237226486206055,True,,0.04,0.11795633216678478,0.7748026818900952,0.00012656760018508084,2.1094600030846813e-09,15.568030585685188,0.18349601162052018,False,rajasthan,0.0,RT50,25.092,1580.5821215136364,0.5502837476004296,,1139.927044733883,8.038917687308173e-09,1657.772836495924,77.50591891895908,65.2957367941223,65.34465576711352,0.0005858872794414822,5.190078615338531,69.35078123965937,62.45812425004816,0.0,0.0,126.0,8760.0,0.0,2821.0,train
c0_RT50_bnd_radial_dmax_fmax,0,RT50,radial,boundary,0,0.08,22,0.05,sim_v2_rajasthan,5.91996169090271,True,,0.04,0.11795633216678478,0.7748026818900952,0.0017629619459263797,1.4691349549386498e-07,77.84015292842594,0.18349601162052018,False,rajasthan,0.0,RT50,25.092,1581.2101054841314,0.5508358979113279,,1138.527470960881,5.600240424965558e-07,1658.3620303490588,77.4674580107869,66.49535264455714,66.5442941615483,0.0005973777671149391,5.190078615338531,69.38637017778773,62.398091960107095,0.0,0.0,129.0,8760.0,0.0,2916.0,train
c0_RT45HC_lhs_singlelayer_000,0,RT45HC,single-layer,lhs,20261021,0.06177327269886329,14,0.019741045672492644,sim_v2_rajasthan,6.656219244003296,True,,0.030886636349431645,0.034558786579561865,0.6467611494760606,0.0003414901956673748,1.1235622582296825e-08,23.73091331786933,0.07540233810325145,True,rajasthan,0.0,RT45HC,25.092,1587.4262732790032,0.5531685919948601,,1132.6146291217863,4.285516133396185e-08,1664.5900091761855,77.46094919477964,31.799346990791108,31.811127826335667,0.0004186423030307656,1.520586609500722,68.83638599728339,62.236234711448986,0.0,0.0,197.0,8760.0,0.0,5996.0,holdout
c0_RT45HC_lhs_singlelayer_001,0,RT45HC,single-layer,lhs,20261021,0.033066469596859584,35,0.049479130435137235,sim_v2_rajasthan,0.0,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,holdout
c0_RT45HC_lhs_singlelayer_002,0,RT45HC,single-layer,lhs,20261021,0.037765432702552615,28,0.030916579550303344,sim_v2_rajasthan,0.0,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_RT45HC_lhs_singlelayer_003,0,RT45HC,single-layer,lhs,20261021,0.06946291936692475,17,0.027199780147825883,sim_v2_rajasthan,5.626280784606934,True,,0.034731459683462376,0.05966733414947413,0.7386407327561324,0.00045306031697229306,2.0538568358917798e-08,36.76733182594827,0.1308751288386269,True,rajasthan,0.0,RT45HC,25.092,1586.5086267414163,0.5548551538818518,,1128.339583473912,7.82858911368547e-08,1663.5712403069094,77.36136270119212,52.94907050921769,52.96941674358976,0.00042028841075863934,2.625362702576862,68.9912895239518,62.198763236178785,0.0,0.0,184.0,8760.0,0.0,5981.0,train
c0_RT45HC_lhs_staggered_000,0,RT45HC,staggered,lhs,20261022,0.07785939932636725,14,0.0399781650388012,sim_v2_rajasthan,6.618323564529419,True,,0.038929699663183624,0.06919740375377408,0.7093540387004128,0.0010728581496351579,7.148483361556203e-08,60.572792331296434,0.12668305938490315,True,rajasthan,0.0,RT45HC,25.092,1585.827843288904,0.554914334576109,,1128.1895740545283,2.7229665253496955e-07,1662.8508319205437,77.32295462113527,59.87022805148203,59.89382641895243,0.0004416702582171762,3.0446857651660593,69.04578666107699,62.21055562907728,0.0,0.0,178.0,8760.0,0.0,5919.0,holdout
