draw,regime_id,pcm_id,valid,latent_heat_mult,annual_ghi_scale,annual_tamb_offset_C,demand_multiplier,timing_shift_hours,mains_delta_C,state,cluster_id,pcm_name,arrangement,mains_temp_C,useful_energy_kWh,solar_fraction,delivery_temp_hours,unmet_energy_kWh,pump_energy_kWh,collector_energy_kWh,loss_energy_kWh,charge_energy_kWh,discharge_energy_kWh,residual_pct_of_collector,pcm_mass_kg,max_water_temp_C,max_pcm_temp_C,n_safety_violations,final_f_melt,complete_melt_cycles,n_hours_simulated,mean_f_melt,min_f_melt,max_f_melt
32,0,RT57HC,True,0.9539646882178064,1.0285203083205492,0.5990986769293732,0.9969422853925014,-0.39619673428414504,-1.5409714967064407,tamilnadu,0,RT57HC,radial,26.92202850329356,1849.6556899965772,0.5579052547297549,4549,1017.265066009078,2.0106659906849242e-07,1931.7650211629086,82.28156132032173,16.200832937874697,16.209917263508306,2.0058964132229837e-06,0.7004494786278685,72.59583447671561,72.54398215984072,9268,0.0,193,8784,0.20774719929384272,0.0,1.0
33,0,RT57HC,True,0.9125243163698039,0.9974792824699249,0.08088981997075084,0.8121210939812513,0.4114280852885823,-1.36081222220293,tamilnadu,0,RT57HC,radial,27.10218777779707,1720.2980932655892,0.6579877054993499,4622,634.6898012936142,1.9115811359647108e-07,1817.8871115685786,97.70639144711679,17.19089031984739,17.19960427916746,6.93645587721282e-12,0.7004494786278685,78.47503652949221,78.46814079331276,45703,0.0,268,8784,0.28999408959625966,0.0,1.0
34,0,RT57HC,True,0.9053038549541854,0.9815981182386608,-0.276913078180147,0.9381968668971529,-0.419310369768224,0.2303178047871981,tamilnadu,0,RT57HC,radial,28.6933178047872,1696.7998526675667,0.5786745105028495,4677,822.9555583767843,1.9653008127862072e-07,1789.8686167803166,93.14170526064424,15.478679503309605,15.487089320992217,3.0533626685783664e-05,0.7004494786278685,72.67085306707753,72.66048182206839,10724,0.0,204,8784,0.2297769686636147,0.0,1.0
35,0,RT57HC,True,1.036838693367069,1.009830231669319,0.09393747398093233,0.9700010571859939,0.04406755184684141,-0.39023697697875237,tamilnadu,0,RT57HC,radial,28.07276302302125,1777.8594144446279,0.6083952972187039,4564,820.9283309596394,1.9355288042922217e-07,1869.959398761812,92.20454211845284,17.386047491889798,17.394673635238902,9.338047484815008e-06,0.7004494786278685,77.26815901108783,77.26390037183889,31146,0.0,232,8784,0.24019567409671366,0.0,1.0
36,0,RT57HC,True,0.9339480635060488,0.9866237610702873,0.15511469707221803,0.9319714504585671,0.40437051728488393,0.6872461828659375,tamilnadu,0,RT57HC,radial,29.15024618286594,1707.4224020482934,0.626299846052889,4638,704.770098308768,1.916790704412572e-07,1804.2932624751809,96.90852672822271,16.539247935404934,16.54742138304776,1.4607898666786907e-05,0.7004494786278685,76.79233678413951,76.7798004833339,35714,0.0,251,8784,0.26424504157045275,0.0,1.0
37,0,RT57HC,True,0.9468835975436652,0.9751749944269671,-0.6009789894284188,1.1363932380971367,0.07527129997081561,0.9408763998885896,tamilnadu,0,RT57HC,radial,29.403876399888592,1721.1013004847014,0.5616382259613097,4422,991.9209167943658,1.9328422874121096e-07,1810.8098568425555,89.77377020222528,14.004680114806423,14.01296194984235,0.0006483114227876839,0.7004494786278685,72.46409287264174,72.45757762954157,15465,0.0,178,8784,0.1655694875315889,0.0,1.0
38,0,RT57HC,True,1.0929403148714099,0.9630502210218742,-0.026894333400536735,1.147995654903092,0.22932134701074547,1.2843849665578526,tamilnadu,0,RT57HC,radial,29.747384966557853,1708.988507815144,0.561297836215277,4434,980.7388812107409,1.933112360537732e-07,1796.1970166389478,87.25357553639265,15.102639667939872,15.1107805949795,0.0006958981701725643,0.7004494786278685,72.18409268511466,72.16746938793432,14588,0.0,174,8784,0.1593263284957167,0.0,1.0
39,0,RT57HC,True,0.9500011889039041,1.018440074147044,0.12380614408078106,1.0180739259070994,0.46610133902228823,-1.1445624412193114,tamilnadu,0,RT57HC,radial,27.31843755878069,1827.290192832465,0.5887443931360649,4470,945.172003570333,1.9538227049519907e-07,1914.1378123140626,86.99859967458089,15.83201108210423,15.84095071350391,1.1124087695122579e-05,0.7004494786278685,75.98190681781637,75.9596633606138,25820,0.0,221,8784,0.21552551256620178,0.0,1.0
40,0,RT57HC,True,1.0664181231872667,0.9744481516191792,0.48838696933271886,0.9114218747589645,-0.16221259936871135,-0.545287979204069,tamilnadu,0,RT57HC,radial,27.917712020795932,1708.8234544751692,0.5842347589575057,4681,826.4426633822455,1.9783069659360683e-07,1796.4082051165763,87.69320775181527,16.91175309232779,16.920406403604378,2.179044784573868e-06,0.7004494786278685,72.22191003689882,72.17464685850396,10025,0.0,196,8784,0.2269789397796442,0.0,1.0
41,0,RT57HC,True,1.0530268869779063,1.0592157538373246,0.5597209451326858,1.0781596237912412,-0.21528331760182184,-0.2757566861438461,tamilnadu,0,RT57HC,radial,28.187243313856154,1901.7376157342155,0.5475174688814782,4611,1047.1836968531968,2.0013484678548542e-07,1987.6454539275219,86.01976608845898,18.211989715553525,18.220655390735292,8.58754506767445e-05,0.7004494786278685,75.30846002830553,75.26348533961742,10584,0.0,207,8784,0.22318674772801383,0.0,1.0
